,Animal Name,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,was_outcome_alive,Intake_Date_dt,Outcome_Date_dt,days_in_shelter
17,A635665*CHAPLIN,BLACK,WHITE,Neutered,2019-05-04,4.0,2019-11-04,NORMAL,STRAY,TRAP,,2019-11-07,"2800 BLK GARDENA AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-04,2019-11-07,3 days
18,JACK,BLACK,WHITE,Male,2019-04-01,4.0,2020-04-26,INJURED  SEVERE,STRAY,FIELD,,2020-04-26,"5500 BLK CHERRY AVE, LONG BEACH, CA 90805",LONG BEACH,DIED,ENROUTE,0,2020-04-26,2020-04-26,0 days
19,,LYNX PT,,Female,2017-11-06,5.0,2019-11-06,INJURED  SEVERE,STRAY,OTC,,2019-11-06,"1200 BURNETT ST, SIGNAL HILL, CA 90755",SIGNAL HILL,EUTHANASIA,INJ SEVERE,0,2019-11-06,2019-11-06,0 days
20,*LONDON,TORTIE,,Female,2019-09-15,3.0,2019-11-06,NORMAL,STRAY,OTC,,2019-11-19,"1600 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-06,2019-11-19,13 days
21,*PARIS,CALICO,,Female,2019-09-15,3.0,2019-11-06,NORMAL,STRAY,OTC,,2019-11-19,"1600 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-06,2019-11-19,13 days
22,A635790,GRAY,WHITE,Neutered,2019-08-06,3.0,2019-11-06,NORMAL,STRAY,TRAP,,2019-11-12,"1300 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-06,2019-11-12,6 days
23,A635832,GRAY,WHITE,Spayed,2018-11-07,4.0,2019-11-07,NORMAL,STRAY,OTC,,2019-11-12,"1300 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-07,2019-11-12,5 days
24,A635833,BLACK,WHITE,Spayed,2019-08-07,3.0,2019-11-07,NORMAL,STRAY,OTC,,2019-11-12,"1300 BLK E. PLYMOUTH ST. LB, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-07,2019-11-12,5 days
25,,GRAY,WHITE,Female,2019-10-07,3.0,2019-11-07,NORMAL,STRAY,OTC,,2019-11-13,"16000 BLK JOANNA AVE. CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2019-11-07,2019-11-13,6 days
26,*LILA,S-T PT,WHITE,Male,2017-11-08,5.0,2019-11-08,INJURED  SEVERE,STRAY,FIELD,,2019-11-15,"900 BLK E 72ND ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,HOUSEOBC,1,2019-11-08,2019-11-15,7 days
27,*LIGHTNING,BLACK,,Male,2016-11-09,6.0,2019-11-08,NORMAL,STRAY,FIELD,,2019-12-25,"19900 BLOOMFIELD AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,BEH SEVERE,0,2019-11-08,2019-12-25,47 days
28,*LITTLE ONE,TORTIE,WHITE,Female,2019-09-09,3.0,2019-11-09,NORMAL,STRAY,OTC,,2019-12-03,"18000 BLK QUEENS CT, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2019-11-09,2019-12-03,24 days
29,635941*CLOVE,TORTIE,,Spayed,2016-11-10,6.0,2019-11-09,NORMAL,STRAY,OTC,,2019-11-26,"18000 BLK QUEENS CT, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-09,2019-11-26,17 days
30,LEFY MCGEE,ORG TABBY,WHITE,Neutered,2019-06-09,3.0,2019-11-09,NORMAL,STRAY,OTC,,2020-02-13,"2500 BLK OLIVE AVE LB, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2019-11-09,2020-02-13,96 days
31,,GRAY TABBY,WHITE,Female,2019-10-09,3.0,2019-11-09,UNDER AGE/WEIGHT,STRAY,OTC,,2019-11-13,"12000 BLK MILES ST, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2019-11-09,2019-11-13,4 days
32,,GRAY,,Unknown,2015-11-13,7.0,2019-11-13,INJURED  SEVERE,STRAY,FIELD,,2019-11-13,"2700 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,DIED,ENROUTE,0,2019-11-13,2019-11-13,0 days
33,A636154*ANTOINETTE,BLACK,WHITE,Spayed,2017-11-13,5.0,2019-11-13,NORMAL,STRAY,OTC,,2019-11-19,"1100 E 16TH ST, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-13,2019-11-19,6 days
34,,BLUE PT,,Male,2019-10-05,3.0,2019-11-15,UNDER AGE/WEIGHT,STRAY,OTC,,2022-06-26,"3300 BLK E 65TH ST, LONG BEACH, CA 90805",LONG BEACH,HOMEFIRST,,1,2019-11-15,2022-06-26,954 days
35,,TORTIE,,Female,2019-10-05,3.0,2019-11-15,NORMAL,STRAY,OTC,,2019-11-19,"3300 BLK E 65TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-15,2019-11-19,4 days
36,WANDA,BLACK,WHITE,Spayed,2011-11-16,11.0,2019-11-16,NORMAL,STRAY,OTC,,2020-02-25,"5300 BLK E MONLACO RD, LONG BEACH, CA 90808",DISTRICT5,ADOPTION,REFERRAL,1,2019-11-16,2020-02-25,101 days
37,*JULIUS,ORANGE,,Neutered,2019-08-16,3.0,2019-11-16,NORMAL,STRAY,OTC,,2019-11-30,"1100 SOUTH ST, LONG BEACH CA 90805",LONG BEACH,ADOPTION,WALKIN,1,2019-11-16,2019-11-30,14 days
38,BOLT,BLUE,,Neutered,2018-11-16,4.0,2019-11-16,NORMAL,OWNER SURRENDER,OTC,NO HOME,2019-11-22,"3000 BLK E COLORADO ST, LONG BEACH CA 90814",LONG BEACH,ADOPTION,WALKIN,1,2019-11-16,2019-11-22,6 days
39,636348*CINDY LOU WHO,CALICO,,Spayed,2016-11-17,6.0,2019-11-17,FRACTIOUS,STRAY,OTC,,2019-11-26,"5800 BLK JAYMILLS AVE. LB, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2019-11-17,2019-11-26,9 days
40,,BRN TABBY,WHITE,Female,2019-10-22,3.0,2019-11-22,UNDER AGE/WEIGHT,STRAY,OTC,,2019-11-25,"7000 BLK LOCUST AVE, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-22,2019-11-25,3 days
41,*PURR-BACA,BLACK,WHITE,Neutered,2019-09-23,3.0,2019-11-23,NORMAL,STRAY,OTC,,2019-12-27,"300 E EAGLE ST, LONG BEACH, CA 90806",DISTRICT6,RESCUE,LITTLEPAWS,1,2019-11-23,2019-12-27,34 days
42,CHILAQUIL,BLACK,WHITE,Neutered,2019-09-23,3.0,2019-11-23,NORMAL,STRAY,OTC,,2019-12-14,"300 E EAGLE ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPEC EVT,1,2019-11-23,2019-12-14,21 days
43,,FLAME PT,,Male,2019-10-12,3.0,2019-11-27,UNDER AGE/WEIGHT,STRAY,OTC,,2019-12-03,"800 ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-11-27,2019-12-03,6 days
44,SALEM,BLACK,WHITE,Female,2014-11-27,8.0,2019-11-27,NORMAL,STRAY,OTC,,2019-12-01,"4000 E PACIFIC COAST HWY, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,1,2019-11-27,2019-12-01,4 days
45,*BEAUTY,CALICO DIL,,Spayed,2019-10-01,3.0,2019-12-01,NORMAL,STRAY,OTC,,2019-12-26,"400 BLK E FREELAND ST, LONG BEACH, CA 90807",DISTRICT8,ADOPTION,SPEC EVT,1,2019-12-01,2019-12-26,25 days
46,JASMINE,BROWN,BLACK,Spayed,2017-12-06,5.0,2019-12-10,NORMAL,RETURN,RTF,,2019-12-21,"200 LOMA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,1,2019-12-10,2019-12-21,11 days
47,GRAY,GRAY,,Female,2010-12-06,12.0,2019-12-06,ILL MILD,STRAY,OTC,,2020-01-06,"1500 BLK W WILLOW, LONG BEACH CA 90810",DISTRICT7,EUTHANASIA,ILL SEVERE,0,2019-12-06,2020-01-06,31 days
48,,BRN TABBY,,Male,2019-11-06,3.0,2019-12-06,UNDER AGE/WEIGHT,STRAY,OTC,,2019-12-12,"2100 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-12-06,2019-12-12,6 days
49,FRIDAY,BLACK,WHITE,Spayed,2013-12-07,9.0,2019-04-17,ILL SEVERE,STRAY,FIELD,,2019-04-27,"ELM AVE / E JANICE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FOLBA,1,2019-04-17,2019-04-27,10 days
50,*COOKIE,LYNX PT,,Female,2019-08-07,3.0,2019-12-07,INJURED  MODERATE,STRAY,FIELD,,2019-12-12,"2500 BLK SEABRIGHT AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLELION,1,2019-12-07,2019-12-12,5 days
51,CHARLIE,BRN TABBY,,Neutered,2019-10-08,3.0,2019-12-08,NORMAL,STRAY,OTC,,2019-12-18,"1000 E 32ND ST, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PROMOTION,1,2019-12-08,2019-12-18,10 days
52,TOKA,BLACK,,Neutered,2019-08-14,3.0,2019-12-14,NORMAL,STRAY,OTC,,2020-01-08,"3100 BLK E. CORTO PL LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WALKIN,1,2019-12-14,2020-01-08,25 days
53,*BAGEL,BRN TABBY,WHITE,Female,2019-10-14,3.0,2019-12-14,NORMAL,STRAY,OTC,,2019-12-20,"800 BLK E HARDING ST, LONG BEACH, CA 90805",LONG BEACH,FOSTER TO ADOPT,,1,2019-12-14,2019-12-20,6 days
54,JUJU,BLACK,WHITE,Neutered,2012-12-14,10.0,2019-12-14,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2020-03-25,"3500 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LITTLELION,1,2019-12-14,2020-03-25,102 days
55,*ESMERALDA,BLACK,,Spayed,2012-12-14,10.0,2019-12-14,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2020-03-25,"3500 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LITTLELION,1,2019-12-14,2020-03-25,102 days
56,NIKO,GRAY TABBY,BLACK,Male,2015-12-14,7.0,2019-12-14,NORMAL,STRAY,OTC,,2019-12-19,"4500 BLK E ANAHEIM ST, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,1,2019-12-14,2019-12-19,5 days
57,,BROWN,,Unknown,2014-12-15,8.0,2019-12-15,INJURED  SEVERE,STRAY,FIELD,,2019-12-15,"1500 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,AT VET,0,2019-12-15,2019-12-15,0 days
58,KITTEN,BRN TABBY,,Male,2019-09-18,3.0,2019-12-18,NORMAL,STRAY,OTC,,2019-12-23,"1400 BLK HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2019-12-18,2019-12-23,5 days
59,,BLACK,WHITE,Female,2019-10-19,3.0,2019-12-19,NORMAL,STRAY,OTC,,2019-12-20,"17500 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,1,2019-12-19,2019-12-20,1 days
60,,GRAY,WHITE,Unknown,2018-12-20,4.0,2019-12-20,NORMAL,STRAY,OTC,OWNER DIED,2019-12-27,"3200 BLK DAISY AVE, LONG BEACH CA 90806",LONG BEACH,RESCUE,OTHER RESC,1,2019-12-20,2019-12-27,7 days
61,NESSA,GRAY,,Spayed,2016-12-22,6.0,2019-12-22,NORMAL,STRAY,OTC,,2020-01-11,"5000 BLK WALNUT AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,1,2019-12-22,2020-01-11,20 days
62,,GRAY,,Male,2019-10-26,3.0,2019-12-26,NORMAL,STRAY,OTC,,2019-12-27,"400 BLK W PACIFIC COAST HWY, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-12-26,2019-12-27,1 days
63,PINTO BEAN,GRAY,WHITE,Female,2017-12-26,5.0,2019-12-26,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2020-01-02,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2019-12-26,2020-01-02,7 days
64,BABY CAT 1,WHITE,GRAY TABBY,Female,2019-10-07,3.0,2019-12-26,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2019-12-28,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-12-26,2019-12-28,2 days
65,BABY CAT 2,WHITE,GRAY,Female,2019-10-07,3.0,2019-12-26,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2019-12-28,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2019-12-26,2019-12-28,2 days
66,,BRN TABBY,,Unknown,2018-12-26,4.0,2019-12-26,ILL SEVERE,STRAY,FIELD,,2019-12-26,"3600 BLK GARDENIA AVE, LONG BEACH, CA 90807",LONG BEACH,EUTHANASIA,AT VET,0,2019-12-26,2019-12-26,0 days
67,*SQUEAKY,GRAY TABBY,WHITE,Female,2017-12-28,5.0,2019-12-28,NORMAL,STRAY,OTC,,2020-01-04,"3300 BLK N LOS COYOTES DIAGONAL, LONG BEACH, CA 90808",LONG BEACH,TRANSFER,SPCALA,1,2019-12-28,2020-01-04,7 days
68,*CASH,GRAY TABBY,WHITE,Neutered,2018-06-29,4.0,2019-12-29,INJURED  MILD,STRAY,OTC,,2020-01-09,"6400 BLK ATLANTIC AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,1,2019-12-29,2020-01-09,11 days
69,A638102 *PANCHO,GRAY,WHITE,Neutered,2018-01-03,5.0,2020-01-03,FRACTIOUS,STRAY,TRAP,,2020-01-16,"11200 BLK PARK ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-03,2020-01-16,13 days
70,,BRN TABBY,,Male,2016-01-03,7.0,2020-01-03,FRACTIOUS,STRAY,FIELD,,2020-01-04,"5500 BLK RIVERA WALK, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2020-01-03,2020-01-04,1 days
71,,CRM TABBY,,Male,2019-12-15,3.0,2020-01-05,UNDER AGE/WEIGHT,STRAY,OTC,,2020-01-06,"1600 BLK E 3RD ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-01-05,2020-01-06,1 days
72,,WHITE,,Male,2019-12-15,3.0,2020-01-05,UNDER AGE/WEIGHT,STRAY,OTC,,2020-01-06,"1600 BLK E 3RD ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-01-05,2020-01-06,1 days
73,WHISKER,ORANGE,WHITE,Male,2019-05-05,4.0,2020-01-05,ILL MODERATETE,OWNER SURRENDER,OTC,ILL,2020-01-06,"900 N PARK CIR, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2020-01-05,2020-01-06,1 days
74,*MARGE,BRN TABBY,WHITE,Female,2008-01-15,15.0,2020-01-08,NORMAL,STRAY,OTC,,2020-02-09,"6000 BLK, BELEN ST LONG BEACH 90815",LONG BEACH,RESCUE,CATPAWS,1,2020-01-08,2020-02-09,32 days
75,DEXTER,BROWN,BLACK,Male,2013-01-08,10.0,2020-01-08,BEHAVIOR  MILD,QUARANTINE,,BITES,2020-01-16,"900 BLK 70TH WAY, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,1,2020-01-08,2020-01-16,8 days
76,A638349,BRN TABBY,,Neutered,2018-01-09,5.0,2020-01-09,NORMAL,STRAY,FIELD,,2020-01-14,"6800 E EL PROGRESSO ST, LONG BEACH, CA 90815",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-09,2020-01-14,5 days
77,*GUSTO,WHITE,GRAY,Neutered,2013-01-09,10.0,2020-01-09,NORMAL,STRAY,OTC,,2020-02-26,"6700 BLK DOWNEY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,1,2020-01-09,2020-02-26,48 days
78,A638374 *CHEDDER,BLACK,WHITE,Neutered,,,2020-01-09,FRACTIOUS,STRAY,FIELD,,2020-01-16,"11200 PARK ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-09,2020-01-16,7 days
79,,WHITE,,Neutered,2019-10-02,3.0,2020-01-09,NORMAL,STRAY,OTC,,2020-01-13,"3700 BLK DELTA AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,CATPAWS,1,2020-01-09,2020-01-13,4 days
80,*TULIP,GRAY TABBY,,Spayed,2019-07-15,3.0,2020-02-05,NORMAL,RETURN,ADOPTION,AGG PEOPLE,2020-02-19,"11000 BLK MARBEL AVE, DOWNEY, CA 90241",SEAACA,ADOPTION,PFE/PAWSHP,1,2020-02-05,2020-02-19,14 days
81,A638565*FEBRUARY,BLACK,,Spayed,2017-01-15,6.0,2020-01-15,NORMAL,STRAY,TRAP,,2020-01-21,"16000 BLK WESTGATE AVE, CERRITOS CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-15,2020-01-21,6 days
82,A638575*TUXIE,BLACK,WHITE,Spayed,2019-05-15,4.0,2020-01-15,NORMAL,STRAY,TRAP,,2020-01-29,"3600 BLK SAUSALITO ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-15,2020-01-29,14 days
83,*TAFFY,TORTIE,,Spayed,2019-08-18,3.0,2020-01-17,NORMAL,STRAY,OTC,,2020-01-28,"700 BLK PINE AV,E LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,1,2020-01-17,2020-01-28,11 days
84,MR. MEW,BRN TABBY,WHITE,Male,2019-08-18,3.0,2020-01-17,NORMAL,STRAY,OTC,,2020-01-26,"700 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,1,2020-01-17,2020-01-26,9 days
85,*EVAN,WHITE,,Neutered,2017-01-17,6.0,2020-01-17,ILL MODERATETE,STRAY,FIELD,,2020-03-19,"1700 BLK E. 5TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2020-01-17,2020-03-19,62 days
86,*MADONNA,BLACK,,Spayed,2019-01-18,4.0,2020-01-18,NORMAL,STRAY,OTC,,2020-01-24,"2700 BLK E HARRISON ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,1,2020-01-18,2020-01-24,6 days
87,MAUI,GRAY TABBY,WHITE,Neutered,2019-08-19,3.0,2020-01-19,NORMAL,STRAY,OTC,,2020-01-28,"1100 BLK DAWSON AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WALKIN,1,2020-01-19,2020-01-28,9 days
88,,WHITE,BLACK,Female,2019-01-22,4.0,2020-01-22,NORMAL,STRAY,OTC,,2020-01-22,"1400 BLK CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-01-22,2020-01-22,0 days
89,A638873*HARLOW,GRAY,WHITE,Neutered,2013-01-22,10.0,2020-01-22,NORMAL,STRAY,OTC,,2020-02-25,"800 BLK E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-22,2020-02-25,34 days
90,,BLACK,,Male,2019-12-15,3.0,2020-01-22,UNDER AGE/WEIGHT,STRAY,OTC,,2020-01-28,"2100 BLK GAVIOTA AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,LITTLEPAWS,1,2020-01-22,2020-01-28,6 days
91,*GARCON,BLACK,GRAY,Neutered,2018-01-24,5.0,2020-01-24,NORMAL,STRAY,OTC,,2020-03-19,"1700 BLK MOLINO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2020-01-24,2020-03-19,55 days
92,BUSHY TAIL,BRN TABBY,WHITE,Spayed,2015-01-24,8.0,2020-01-24,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,2020-02-25,"1600 E BIXBY RD, LONG BEACH, CA 90807",LONG BEACH,RESCUE,FNDANIFOUN,1,2020-01-24,2020-02-25,32 days
93,*SIR PURRSALOT,GRAY,,Neutered,2018-01-25,5.0,2020-01-25,FRACTIOUS,STRAY,TRAP,,2020-02-01,"700 BLK DAISY AVE, LONG BEACH CA 90813",LONG BEACH,ADOPTION,WALKIN,1,2020-01-25,2020-02-01,7 days
94,,FLAME PT,,Neutered,2019-07-26,3.0,2020-01-26,NORMAL,OWNER SURRENDER,OTC,,2020-01-28,"12500 ANDY ST, CERRITOS, CA 90703",CERRITOS,RESCUE,CATPAWS,1,2020-01-26,2020-01-28,2 days
95,A639202,BLACK,,Neutered,2018-01-30,5.0,2020-01-30,NORMAL,STRAY,TRAP,,2020-02-04,"4800 BLK PEPPERWOOD AVE, LONG BEACH, CA 90808",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-01-30,2020-02-04,5 days
96,#4,TORTIE DIL,,Female,2019-12-01,3.0,2020-02-01,ILL MODERATETE,STRAY,OTC,,2020-02-03,"1400 BLK WARREN AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,1,2020-02-01,2020-02-03,2 days
97,A639288,BRN TABBY,,Spayed,2019-02-01,4.0,2020-02-01,FRACTIOUS,STRAY,FIELD,,2020-02-06,"12400 MILES ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2020-02-01,2020-02-06,5 days
