Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A635496,A635496*GREYA,CAT,BRN TABBY,,Spayed,4/30/2019,4,10/30/2019,NORMAL,STRAY,TRAP,,11/14/2019,"800 BLK E SUNRISE BLVD, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635514,,CAT,GRAY,WHITE,Neutered,10/31/2016,6,10/31/2019,INJURED  SEVERE,STRAY,FIELD,,10/31/2019,"900 BLK STANLEY AVE, LONG BEACH, CA 90804",LONG BEACH,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A635533,,CAT,BLACK,WHITE,Female,10/31/2014,8,10/31/2019,INJURED  MODERATE,STRAY,FIELD,,10/31/2019,"300 BLK E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A635590,,CAT,BLACK,WHITE,Male,10/2/2019,3,11/2/2019,ILL MILD,STRAY,OTC,,11/3/2019,"1400 BLK ORANGE AVE LB, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A635602,A635602*CAL,CAT,BLACK,,Spayed,11/2/2017,5,11/2/2019,NORMAL,STRAY,OTC,,11/5/2019,"400 BLK E 60TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635646,,CAT,CALICO,,Female,10/3/2019,3,11/3/2019,NORMAL,STRAY,OTC,,11/13/2019,"1400 BLK W 34TH ST, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635652,*FLINN,CAT,LYNX PT,WHITE,Neutered,10/3/2019,3,11/3/2019,UNDER AGE/WEIGHT,STRAY,OTC,,11/16/2019,"50 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A635665,A635665*CHAPLIN,CAT,BLACK,WHITE,Neutered,5/4/2019,4,11/4/2019,NORMAL,STRAY,TRAP,,11/7/2019,"2800 BLK GARDENA AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635685,JACK,CAT,BLACK,WHITE,Male,4/1/2019,4,4/26/2020,INJURED  SEVERE,STRAY,FIELD,,4/26/2020,"5500 BLK CHERRY AVE, LONG BEACH, CA 90805",LONG BEACH,DIED,ENROUTE,Alive on Intake,TRUE,0
A635758,,CAT,LYNX PT,,Female,11/6/2017,5,11/6/2019,INJURED  SEVERE,STRAY,OTC,,11/6/2019,"1200 BURNETT ST, SIGNAL HILL, CA 90755",SIGNAL HILL,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A635761,*LONDON,CAT,TORTIE,,Female,9/15/2019,3,11/6/2019,NORMAL,STRAY,OTC,,11/19/2019,"1600 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635762,*PARIS,CAT,CALICO,,Female,9/15/2019,3,11/6/2019,NORMAL,STRAY,OTC,,11/19/2019,"1600 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635790,A635790,CAT,GRAY,WHITE,Neutered,8/6/2019,3,11/6/2019,NORMAL,STRAY,TRAP,,11/12/2019,"1300 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635832,A635832,CAT,GRAY,WHITE,Spayed,11/7/2018,4,11/7/2019,NORMAL,STRAY,OTC,,11/12/2019,"1300 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635833,A635833,CAT,BLACK,WHITE,Spayed,8/7/2019,3,11/7/2019,NORMAL,STRAY,OTC,,11/12/2019,"1300 BLK E. PLYMOUTH ST. LB, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635836,,CAT,GRAY,WHITE,Female,10/7/2019,3,11/7/2019,NORMAL,STRAY,OTC,,11/13/2019,"16000 BLK JOANNA AVE. CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635881,*LILA,CAT,S-T PT,WHITE,Male,11/8/2017,5,11/8/2019,INJURED  SEVERE,STRAY,FIELD,,11/15/2019,"900 BLK E 72ND ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,HOUSEOBC,Alive on Intake,FALSE,1
A635889,*LIGHTNING,CAT,BLACK,,Male,11/9/2016,6,11/8/2019,NORMAL,STRAY,FIELD,,12/25/2019,"19900 BLOOMFIELD AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,BEH SEVERE,Alive on Intake,TRUE,0
A635939,*LITTLE ONE,CAT,TORTIE,WHITE,Female,9/9/2019,3,11/9/2019,NORMAL,STRAY,OTC,,12/3/2019,"18000 BLK QUEENS CT, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A635941,635941*CLOVE,CAT,TORTIE,,Spayed,11/10/2016,6,11/9/2019,NORMAL,STRAY,OTC,,11/26/2019,"18000 BLK QUEENS CT, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A635966,LEFY MCGEE,CAT,ORG TABBY,WHITE,Neutered,6/9/2019,3,11/9/2019,NORMAL,STRAY,OTC,,2/13/2020,"2500 BLK OLIVE AVE LB, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A635970,,CAT,GRAY TABBY,WHITE,Female,10/9/2019,3,11/9/2019,UNDER AGE/WEIGHT,STRAY,OTC,,11/13/2019,"12000 BLK MILES ST, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A636132,,CAT,GRAY,,Unknown,11/13/2015,7,11/13/2019,INJURED  SEVERE,STRAY,FIELD,,11/13/2019,"2700 BLK SAN FRANCISCO AVE, LONG BEACH, CA 90806",LONG BEACH,DIED,ENROUTE,Alive on Intake,TRUE,0
A636154,A636154*ANTOINETTE,CAT,BLACK,WHITE,Spayed,11/13/2017,5,11/13/2019,NORMAL,STRAY,OTC,,11/19/2019,"1100 E 16TH ST, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A636255,,CAT,BLUE PT,,Male,10/5/2019,3,11/15/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/26/2022,"3300 BLK E 65TH ST, LONG BEACH, CA 90805",LONG BEACH,HOMEFIRST,,Alive on Intake,FALSE,1
A636258,,CAT,TORTIE,,Female,10/5/2019,3,11/15/2019,NORMAL,STRAY,OTC,,11/19/2019,"3300 BLK E 65TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A636297,WANDA,CAT,BLACK,WHITE,Spayed,11/16/2011,11,11/16/2019,NORMAL,STRAY,OTC,,2/25/2020,"5300 BLK E MONLACO RD, LONG BEACH, CA 90808",DISTRICT5,ADOPTION,REFERRAL,Alive on Intake,FALSE,1
A636303,*JULIUS,CAT,ORANGE,,Neutered,8/16/2019,3,11/16/2019,NORMAL,STRAY,OTC,,11/30/2019,"1100 SOUTH ST, LONG BEACH CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A636313,BOLT,CAT,BLUE,,Neutered,11/16/2018,4,11/16/2019,NORMAL,OWNER SURRENDER,OTC,NO HOME,11/22/2019,"3000 BLK E COLORADO ST, LONG BEACH CA 90814",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A636348,636348*CINDY LOU WHO,CAT,CALICO,,Spayed,11/17/2016,6,11/17/2019,FRACTIOUS,STRAY,OTC,,11/26/2019,"5800 BLK JAYMILLS AVE. LB, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A636607,,CAT,BRN TABBY,WHITE,Female,10/22/2019,3,11/22/2019,UNDER AGE/WEIGHT,STRAY,OTC,,11/25/2019,"7000 BLK LOCUST AVE, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A636623,*PURR-BACA,CAT,BLACK,WHITE,Neutered,9/23/2019,3,11/23/2019,NORMAL,STRAY,OTC,,12/27/2019,"300 E EAGLE ST, LONG BEACH, CA 90806",DISTRICT6,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A636624,CHILAQUIL,CAT,BLACK,WHITE,Neutered,9/23/2019,3,11/23/2019,NORMAL,STRAY,OTC,,12/14/2019,"300 E EAGLE ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A636784,,CAT,FLAME PT,,Male,10/12/2019,3,11/27/2019,UNDER AGE/WEIGHT,STRAY,OTC,,12/3/2019,"800 ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A636794,SALEM,CAT,BLACK,WHITE,Female,11/27/2014,8,11/27/2019,NORMAL,STRAY,OTC,,12/1/2019,"4000 E PACIFIC COAST HWY, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A636935,*BEAUTY,CAT,CALICO DIL,,Spayed,10/1/2019,3,12/1/2019,NORMAL,STRAY,OTC,,12/26/2019,"400 BLK E FREELAND ST, LONG BEACH, CA 90807",DISTRICT8,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A637065,JASMINE,CAT,BROWN,BLACK,Spayed,12/6/2017,5,12/10/2019,NORMAL,RETURN,RTF,,12/21/2019,"200 LOMA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A637217,GRAY,CAT,GRAY,,Female,12/6/2010,12,12/6/2019,ILL MILD,STRAY,OTC,,1/6/2020,"1500 BLK W WILLOW, LONG BEACH CA 90810",DISTRICT7,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A637218,,CAT,BRN TABBY,,Male,11/6/2019,3,12/6/2019,UNDER AGE/WEIGHT,STRAY,OTC,,12/12/2019,"2100 BLK OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A637252,FRIDAY,CAT,BLACK,WHITE,Spayed,12/7/2013,9,4/17/2019,ILL SEVERE,STRAY,FIELD,,4/27/2019,"ELM AVE / E JANICE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FOLBA,Alive on Intake,FALSE,1
A637255,*COOKIE,CAT,LYNX PT,,Female,8/7/2019,3,12/7/2019,INJURED  MODERATE,STRAY,FIELD,,12/12/2019,"2500 BLK SEABRIGHT AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLELION,Alive on Intake,FALSE,1
A637337,CHARLIE,CAT,BRN TABBY,,Neutered,10/8/2019,3,12/8/2019,NORMAL,STRAY,OTC,,12/18/2019,"1000 E 32ND ST, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PROMOTION,Alive on Intake,FALSE,1
A637542,TOKA,CAT,BLACK,,Neutered,8/14/2019,3,12/14/2019,NORMAL,STRAY,OTC,,1/8/2020,"3100 BLK E. CORTO PL LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A637550,*BAGEL,CAT,BRN TABBY,WHITE,Female,10/14/2019,3,12/14/2019,NORMAL,STRAY,OTC,,12/20/2019,"800 BLK E HARDING ST, LONG BEACH, CA 90805",LONG BEACH,FOSTER TO ADOPT,,Alive on Intake,FALSE,1
A637554,JUJU,CAT,BLACK,WHITE,Neutered,12/14/2012,10,12/14/2019,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,3/25/2020,"3500 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LITTLELION,Alive on Intake,FALSE,1
A637555,*ESMERALDA,CAT,BLACK,,Spayed,12/14/2012,10,12/14/2019,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,3/25/2020,"3500 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LITTLELION,Alive on Intake,FALSE,1
A637561,NIKO,CAT,GRAY TABBY,BLACK,Male,12/14/2015,7,12/14/2019,NORMAL,STRAY,OTC,,12/19/2019,"4500 BLK E ANAHEIM ST, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A637609,,CAT,BROWN,,Unknown,12/15/2014,8,12/15/2019,INJURED  SEVERE,STRAY,FIELD,,12/15/2019,"1500 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,AT VET,Alive on Intake,TRUE,0
A637688,KITTEN,CAT,BRN TABBY,,Male,9/18/2019,3,12/18/2019,NORMAL,STRAY,OTC,,12/23/2019,"1400 BLK HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A637725,,CAT,BLACK,WHITE,Female,10/19/2019,3,12/19/2019,NORMAL,STRAY,OTC,,12/20/2019,"17500 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A637753,,CAT,GRAY,WHITE,Unknown,12/20/2018,4,12/20/2019,NORMAL,STRAY,OTC,OWNER DIED,12/27/2019,"3200 BLK DAISY AVE, LONG BEACH CA 90806",LONG BEACH,RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A637838,NESSA,CAT,GRAY,,Spayed,12/22/2016,6,12/22/2019,NORMAL,STRAY,OTC,,1/11/2020,"5000 BLK WALNUT AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A637891,,CAT,GRAY,,Male,10/26/2019,3,12/26/2019,NORMAL,STRAY,OTC,,12/27/2019,"400 BLK W PACIFIC COAST HWY, LONG BEACH, CA 90806",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A637918,PINTO BEAN,CAT,GRAY,WHITE,Female,12/26/2017,5,12/26/2019,NORMAL,OWNER SURRENDER,OTC,TOO MANY,1/2/2020,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A637919,BABY CAT 1,CAT,WHITE,GRAY TABBY,Female,10/7/2019,3,12/26/2019,NORMAL,OWNER SURRENDER,OTC,TOO MANY,12/28/2019,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A637920,BABY CAT 2,CAT,WHITE,GRAY,Female,10/7/2019,3,12/26/2019,NORMAL,OWNER SURRENDER,OTC,TOO MANY,12/28/2019,"1300 BLK ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A637930,,CAT,BRN TABBY,,Unknown,12/26/2018,4,12/26/2019,ILL SEVERE,STRAY,FIELD,,12/26/2019,"3600 BLK GARDENIA AVE, LONG BEACH, CA 90807",LONG BEACH,EUTHANASIA,AT VET,Alive on Intake,TRUE,0
A637982,*SQUEAKY,CAT,GRAY TABBY,WHITE,Female,12/28/2017,5,12/28/2019,NORMAL,STRAY,OTC,,1/4/2020,"3300 BLK N LOS COYOTES DIAGONAL, LONG BEACH, CA 90808",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A638004,*CASH,CAT,GRAY TABBY,WHITE,Neutered,6/29/2018,4,12/29/2019,INJURED  MILD,STRAY,OTC,,1/9/2020,"6400 BLK ATLANTIC AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A638102,A638102 *PANCHO,CAT,GRAY,WHITE,Neutered,1/3/2018,5,1/3/2020,FRACTIOUS,STRAY,TRAP,,1/16/2020,"11200 BLK PARK ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638116,,CAT,BRN TABBY,,Male,1/3/2016,7,1/3/2020,FRACTIOUS,STRAY,FIELD,,1/4/2020,"5500 BLK RIVERA WALK, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A638216,,CAT,CRM TABBY,,Male,12/15/2019,3,1/5/2020,UNDER AGE/WEIGHT,STRAY,OTC,,1/6/2020,"1600 BLK E 3RD ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A638220,,CAT,WHITE,,Male,12/15/2019,3,1/5/2020,UNDER AGE/WEIGHT,STRAY,OTC,,1/6/2020,"1600 BLK E 3RD ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A638227,WHISKER,CAT,ORANGE,WHITE,Male,5/5/2019,4,1/5/2020,ILL MODERATETE,OWNER SURRENDER,OTC,ILL,1/6/2020,"900 N PARK CIR, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A638311,*MARGE,CAT,BRN TABBY,WHITE,Female,1/15/2008,15,1/8/2020,NORMAL,STRAY,OTC,,2/9/2020,"6000 BLK, BELEN ST LONG BEACH 90815",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A638317,DEXTER,CAT,BROWN,BLACK,Male,1/8/2013,10,1/8/2020,BEHAVIOR  MILD,QUARANTINE,,BITES,1/16/2020,"900 BLK 70TH WAY, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A638349,A638349,CAT,BRN TABBY,,Neutered,1/9/2018,5,1/9/2020,NORMAL,STRAY,FIELD,,1/14/2020,"6800 E EL PROGRESSO ST, LONG BEACH, CA 90815",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638365,*GUSTO,CAT,WHITE,GRAY,Neutered,1/9/2013,10,1/9/2020,NORMAL,STRAY,OTC,,2/26/2020,"6700 BLK DOWNEY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A638374,A638374 *CHEDDER,CAT,BLACK,WHITE,Neutered,,,1/9/2020,FRACTIOUS,STRAY,FIELD,,1/16/2020,"11200 PARK ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638375,,CAT,WHITE,,Neutered,10/2/2019,3,1/9/2020,NORMAL,STRAY,OTC,,1/13/2020,"3700 BLK DELTA AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A638559,*TULIP,CAT,GRAY TABBY,,Spayed,7/15/2019,3,2/5/2020,NORMAL,RETURN,ADOPTION,AGG PEOPLE,2/19/2020,"11000 BLK MARBEL AVE, DOWNEY, CA 90241",SEAACA,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A638565,A638565*FEBRUARY,CAT,BLACK,,Spayed,1/15/2017,6,1/15/2020,NORMAL,STRAY,TRAP,,1/21/2020,"16000 BLK WESTGATE AVE, CERRITOS CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638575,A638575*TUXIE,CAT,BLACK,WHITE,Spayed,5/15/2019,4,1/15/2020,NORMAL,STRAY,TRAP,,1/29/2020,"3600 BLK SAUSALITO ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638662,*TAFFY,CAT,TORTIE,,Spayed,8/18/2019,3,1/17/2020,NORMAL,STRAY,OTC,,1/28/2020,"700 BLK PINE AV,E LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A638663,MR. MEW,CAT,BRN TABBY,WHITE,Male,8/18/2019,3,1/17/2020,NORMAL,STRAY,OTC,,1/26/2020,"700 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A638672,*EVAN,CAT,WHITE,,Neutered,1/17/2017,6,1/17/2020,ILL MODERATETE,STRAY,FIELD,,3/19/2020,"1700 BLK E. 5TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A638705,*MADONNA,CAT,BLACK,,Spayed,1/18/2019,4,1/18/2020,NORMAL,STRAY,OTC,,1/24/2020,"2700 BLK E HARRISON ST, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A638741,MAUI,CAT,GRAY TABBY,WHITE,Neutered,8/19/2019,3,1/19/2020,NORMAL,STRAY,OTC,,1/28/2020,"1100 BLK DAWSON AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A638862,,CAT,WHITE,BLACK,Female,1/22/2019,4,1/22/2020,NORMAL,STRAY,OTC,,1/22/2020,"1400 BLK CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A638873,A638873*HARLOW,CAT,GRAY,WHITE,Neutered,1/22/2013,10,1/22/2020,NORMAL,STRAY,OTC,,2/25/2020,"800 BLK E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A638875,,CAT,BLACK,,Male,12/15/2019,3,1/22/2020,UNDER AGE/WEIGHT,STRAY,OTC,,1/28/2020,"2100 BLK GAVIOTA AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A638959,*GARCON,CAT,BLACK,GRAY,Neutered,1/24/2018,5,1/24/2020,NORMAL,STRAY,OTC,,3/19/2020,"1700 BLK MOLINO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A638963,BUSHY TAIL,CAT,BRN TABBY,WHITE,Spayed,1/24/2015,8,1/24/2020,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,2/25/2020,"1600 E BIXBY RD, LONG BEACH, CA 90807",LONG BEACH,RESCUE,FNDANIFOUN,Alive on Intake,FALSE,1
A638994,*SIR PURRSALOT,CAT,GRAY,,Neutered,1/25/2018,5,1/25/2020,FRACTIOUS,STRAY,TRAP,,2/1/2020,"700 BLK DAISY AVE, LONG BEACH CA 90813",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A639038,,CAT,FLAME PT,,Neutered,7/26/2019,3,1/26/2020,NORMAL,OWNER SURRENDER,OTC,,1/28/2020,"12500 ANDY ST, CERRITOS, CA 90703",CERRITOS,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A639202,A639202,CAT,BLACK,,Neutered,1/30/2018,5,1/30/2020,NORMAL,STRAY,TRAP,,2/4/2020,"4800 BLK PEPPERWOOD AVE, LONG BEACH, CA 90808",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A639281,#4,CAT,TORTIE DIL,,Female,12/1/2019,3,2/1/2020,ILL MODERATETE,STRAY,OTC,,2/3/2020,"1400 BLK WARREN AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A639288,A639288,CAT,BRN TABBY,,Spayed,2/1/2019,4,2/1/2020,FRACTIOUS,STRAY,FIELD,,2/6/2020,"12400 MILES ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
